name	seq_ID	library	location	FBX5	CMT2	VIM2	sample
Cvi-0	4073_M	4220_Y	SA	1	0	1	4220_Y_Cvi-0
S10-100	22628	3542_Y	SA	1	0	1	3542_Y_S10-100
S10-102	22637	3599_Y	SA	1	1	1	3599_Y_S10-102
S10-12	27158	3542_Z	SA	0	1	1	3542_Z_S10-12
S10-16	15673	3599_Z	SA	0	0	0	3599_Z_S10-16
S10-29	15671	3542_AA	SA	0	0	1	3542_AA_S10-29
S1-1	2876_AL	3599_AA	SA	0	0	0	3599_AA_S1-1
S1-100	22615	3542_AB	SA	0	0	0	3542_AB_S1-100
S11-100	2876_AN	3599_AB	SA	0	0	1	3599_AB_S11-100
S11-101	22620	3542_AC	SA	1	1	0	3542_AC_S11-101
S11-102	22642	4050_P	SA	0	1	0	4050_P_S11-102
S11-14	15674	3599_AC	SA	0	1	0	3599_AC_S11-14
S11-19	35517	3542_AD	SA	0	0	1	3542_AD_S11-19
S11-20	16293	3599_AD	SA	0	0	1	3599_AD_S11-20
S11-35	27174	3599_F	SA	1	1	1	3599_F_S11-35
S11-36	27181	3542_AE	SA	1	0	1	3542_AE_S11-36
S11-45	27175	3599_G	SA	0	1	0	3599_G_S11-45
S11-48	27170	3599_AF	SA	1	0	0	3599_AF_S11-48
S11-54	27160	3599_H	SA	0	1	1	3599_H_S11-54
S11-57	35516	3542_AG	SA	0	0	0	3542_AG_S11-57
S11-61	27161	4050_Q	SA	1	0	0	4050_Q_S11-61
S11-63	15675	3599_AG	SA	1	0	1	3599_AG_S11-63
S11-9	27180	3599_I	SA	0	1	0	3599_I_S11-9
S1-3	13583	3542_AH	SA	0	0	0	3542_AH_S1-3
S1-5	13582	3427_F	SA	0	0	0	3427_F_S1-5
S1-501	3968_A	4220_J	SA	0	0	0	4220_J_S1-501
S15-1	22631	3599_AH	SA	1	0	0	3599_AH_S15-1
S15-13	22616	3599_J	SA	0	1	0	3599_J_S15-13
S15-3	20682	3542_AI	SA	1	0	0	3542_AI_S15-3
S15-6	22622	3599_AI	SA	0	1	1	3599_AI_S15-6
S15-7	22634	3599_K	SA	0	0	0	3599_K_S15-7
S15-T1-15-11	2876_C	4050_R	SA	1	0	0	4050_R_S15-T1-15-11
S15-T1-15-4	2876_M	3542_AJ	SA	1	0	0	3542_AJ_S15-T1-15-4
S15-T2-15-1	2876_R	3599_AJ	SA	1	1	0	3599_AJ_S15-T2-15-1
S15-T2-15-21	2876_F	3599_L	SA	1	1	0	3599_L_S15-T2-15-21
S15-T2-15-41	2876_X	4050_S	SA	0	1	0	4050_S_S15-T2-15-41
S16-2	2876_AR	3599_AK	SA	1	0	1	3599_AK_S16-2
S16-8	20685	3599_M	SA	1	0	1	3599_M_S16-8
S16-L-15-4	2876_K	3542_AL	SA	1	0	1	3542_AL_S16-L-15-4
S16-T1-15-37	2876_L	3599_AL	SA	1	0	1	3599_AL_S16-T1-15-37
S16-T1-15-47	2876_J	3599_N	SA	1	0	1	3599_N_S16-T1-15-47
S16-T2-15-1	2876_P	3542_AM	SA	1	0	1	3542_AM_S16-T2-15-1
S17-1	2876_B	3599_AM	SA	0	0	1	3599_AM_S17-1
S18-2	20683	3599_O	SA	0	0	0	3599_O_S18-2
S18-3	22630	3542_AN	SA	0	1	0	3542_AN_S18-3
S19-1	22633	3599_AN	SA	1	0	1	3599_AN_S19-1
S19-T2-15-13	2876_AA	3599_P	SA	1	0	1	3599_P_S19-T2-15-13
S20-201	3968_K	4220_K	SA	0	0	0	4220_K_S20-201
S20-209	3968_R	4220_L	SA	0	0	0	4220_L_S20-209
S23-101	3968_AM	4220_M	SA	0	0	0	4220_M_S23-101
S24-1-103	3968_AP	4220_O	SA	0	1	1	4220_O_S24-1-103
S25-3	3968_AQ	4220_P	SA	1	0	1	4220_P_S25-3
S25-5	3968_AR	4220_Q	SA	1	0	1	4220_Q_S25-5
S27-204	3968_V	4373_AB	SA	0	1	1	4373_AB_S27-204
S28-201	3968_Y	4220_T	SA	0	1	1	4220_T_S28-201
S28-203	3968_AA	4220_U	SA	0	1	1	4220_U_S28-203
S3-1	13175	3542_AO	SA	1	0	1	3542_AO_S3-1
S3-100	2876_AT	3599_AO	SA	1	0	1	3599_AO_S3-100
S3-12	12912	3599_Q	SA	0	0	1	3599_Q_S3-12
S3-2	13179	4050_T	SA	1	0	1	4050_T_S3-2
S3-3	13172	3542_AP	SA	1	0	1	3542_AP_S3-3
S3-4	13173	4050_U	SA	1	0	1	4050_U_S3-4
S3-5	13183	4050_V	SA	1	0	1	4050_V_S3-5
S4-B2-5	13580	3599_AP	SA	0	0	1	3599_AP_S4-B2-5
S4-B2-9	13581	3599_R	SA	0	1	0	3599_R_S4-B2-9
S4-B3-14	27177	3542_AQ	SA	1	0	1	3542_AQ_S4-B3-14
S5-10	2876_AU	3599_AQ	SA	0	0	1	3599_AQ_S5-10
S5-100	22624	4050_W	SA	0	0	1	4050_W_S5-100
S5-101	22632	3599_S	SA	1	1	0	3599_S_S5-101
S5-102	22618	3542_AR	SA	0	0	1	3542_AR_S5-102
S7-B11	27165	3599_T	SA	0	1	0	3599_T_S7-B11
S7-B15	16150	3599_AS	SA	0	0	0	3599_AS_S7-B15
S7-B2	35519	3599_U	SA	0	1	0	3599_U_S7-B2
S7-B20	27172	3542_AT	SA	0	1	0	3542_AT_S7-B20
S7-B5	13578	3599_AT	SA	0	0	0	3599_AT_S7-B5
S7-T1	15669	3599_V	SA	0	1	0	3599_V_S7-T1
